"Red1(red1)","Green1(green1)","Blue1(blue1)","Alpha1(alpha1)","Distance1(distance1)"
"267","1124","874","755","11.51384615535904"
"267","1124","874","755","11.494958446371067"
"267","1122","872","753","11.494958446371067"
"267","1122","872","753","11.494958446371067"
"267","1122","872","753","11.494958446371067"
"267","1122","872","753","11.494958446371067"
"267","1122","872","753","11.504393320004077"
"267","1122","872","753","11.504393320004077"
"267","1125","872","756","11.504393320004077"
"268","1125","875","756","11.504393320004077"
"268","1125","875","756","11.504393320004077"
"268","1125","875","756","11.504393320004077"
"268","1125","875","756","11.51384615535904"
"268","1125","875","756","11.51384615535904"
"267","1123","874","754","11.51384615535904"
"267","1123","874","754","11.51384615535904"
"267","1123","874","754","11.51384615535904"
"267","1123","874","754","11.494958446371067"
"267","1123","874","754","11.494958446371067"
"267","1123","874","754","11.494958446371067"
"267","1123","874","754","11.494958446371067"
"267","1123","874","754","11.494958446371067"
"267","1123","874","754","11.494958446371067"
"267","1123","874","754","11.485541480988736"
"267","1123","874","754","11.485541480988736"
"268","1124","874","755","11.485541480988736"
"268","1124","874","755","11.485541480988736"
"268","1124","874","755","11.485541480988736"
"268","1124","874","755","11.485541480988736"
"268","1124","874","755","11.494958446371067"
"268","1120","874","753","11.494958446371067"
"267","1120","872","753","11.494958446371067"
"267","1120","872","753","11.494958446371067"
"267","1120","872","753","11.494958446371067"
"267","1120","872","753","11.494958446371067"
"267","1120","872","753","11.457397502876036"
"267","1120","872","753","11.457397502876036"
"268","1124","874","755","11.457397502876036"
"268","1124","874","755","11.457397502876036"
"268","1124","874","755","11.457397502876036"
"268","1124","874","755","11.457397502876036"
"268","1124","874","755","11.494958446371067"
"268","1124","874","755","11.494958446371067"
"267","1124","874","755","11.494958446371067"
"267","1124","874","755","11.494958446371067"
"267","1124","874","755","11.494958446371067"
"267","1124","874","755","11.494958446371067"
"267","1124","874","755","11.51384615535904"
"267","1124","874","755","11.51384615535904"
"267","1120","874","753","11.51384615535904"
"267","1120","872","753","11.51384615535904"
"267","1120","872","753","11.51384615535904"
"267","1120","872","753","11.51384615535904"
"267","1120","872","753","11.51384615535904"
"267","1120","872","753","11.476142370602457"
"267","1123","872","754","11.476142370602457"
"267","1123","874","754","11.476142370602457"
"267","1123","874","754","11.476142370602457"
"267","1123","874","754","11.476142370602457"
"267","1123","874","754","11.51384615535904"
"267","1123","874","754","11.51384615535904"
"267","1123","874","754","11.51384615535904"
"267","1123","874","754","11.51384615535904"
"267","1123","874","754","11.51384615535904"
"267","1123","874","754","11.51384615535904"
"267","1123","874","754","11.51384615535904"
"267","1123","874","754","11.52331700612498"
"267","1123","874","754","11.52331700612498"
"267","1121","872","753","11.52331700612498"
"267","1121","872","753","11.52331700612498"
"267","1121","872","753","11.52331700612498"
"267","1121","872","753","11.52331700612498"
"267","1121","872","753","11.457397502876036"
"267","1121","872","753","11.457397502876036"
"267","1121","872","753","11.457397502876036"
"267","1121","872","753","11.457397502876036"
"267","1121","872","753","11.457397502876036"
"267","1121","872","753","11.457397502876036"
"267","1121","872","753","11.52331700612498"
"267","1121","872","753","11.52331700612498"
"267","1122","872","753","11.52331700612498"
"267","1122","872","753","11.52331700612498"
"267","1122","872","753","11.52331700612498"
"267","1122","872","753","11.52331700612498"
"267","1122","872","753","11.532805926209793"
"267","1122","872","753","11.532805926209793"
"267","1123","874","754","11.532805926209793"
"267","1123","874","754","11.532805926209793"
"267","1123","874","754","11.532805926209793"
"267","1123","874","754","11.51384615535904"
"267","1122","874","753","11.51384615535904"
"267","1122","872","753","11.51384615535904"
"267","1122","872","753","11.51384615535904"
"267","1122","872","753","11.51384615535904"
"267","1122","872","753","11.466761062173118"
"267","1122","872","753","11.466761062173118"
"267","1123","874","754","11.466761062173118"
"267","1123","874","754","11.466761062173118"
"267","1123","874","754","11.466761062173118"
"267","1123","874","754","11.466761062173118"
