"Red","Green","Blue","Alpha","Distance"
"40","70","55","55","70.47228645089027"
"40","70","55","55","70.47228645089027"
"40","70","55","55","67.47969827375638"
"40","70","55","55","67.47969827375638"
"40","71","55","55","67.47969827375638"
"41","71","55","55","67.47969827375638"
"41","71","55","55","67.47969827375638"
"41","71","55","55","67.47969827375638"
"41","71","55","55","67.47969827375638"
"41","71","55","55","75.22345070350926"
"41","71","55","55","75.22345070350926"
"41","71","55","57","75.22345070350926"
"43","73","57","57","75.22345070350926"
"43","73","57","57","75.22345070350926"
"43","73","57","57","75.22345070350926"
"43","73","57","57","75.22345070350926"
"43","73","57","57","75.22345070350926"
"43","73","57","57","69.84931917968377"
"43","73","57","57","69.84931917968377"
"40","72","54","55","69.84931917968377"
"40","72","54","55","69.84931917968377"
"40","72","54","55","69.84931917968377"
"40","72","54","55","69.84931917968377"
"40","72","54","55","69.84931917968377"
"40","72","54","55","69.23896437700756"
"40","72","54","55","69.23896437700756"
"40","72","54","61","69.23896437700756"
"43","79","62","61","69.23896437700756"
"43","79","62","61","69.23896437700756"
"43","79","62","61","69.23896437700756"
"43","79","62","61","69.23896437700756"
"43","79","62","61","69.23896437700756"
"43","79","62","61","66.36308750250765"
"43","79","62","61","66.36308750250765"
"43","79","62","74","66.36308750250765"
"40","104","80","74","66.36308750250765"
"40","104","80","74","66.36308750250765"
"40","104","80","74","66.36308750250765"
"40","104","80","74","66.36308750250765"
"40","104","80","74","66.36308750250765"
"40","104","80","74","9.125392066172967"
"40","104","80","74","9.125392066172967"
"40","104","80","74","9.125392066172967"
"256","1366","978","866","9.125392066172967"
"256","1366","978","866","9.125392066172967"
"256","1366","978","866","9.125392066172967"
"256","1366","978","866","9.125392066172967"
"256","1366","978","866","9.125392066172967"
"256","1366","978","866","6.357584495013662"
"256","1366","978","866","6.357584495013662"
"256","2347","978","1574","6.357584495013662"
"554","2347","1822","1574","6.357584495013662"
"554","2347","1822","1574","6.357584495013662"
"554","2347","1822","1574","6.357584495013662"
"554","2347","1822","1574","6.357584495013662"
"554","2347","1822","1574","6.357584495013662"
"554","2347","1822","1574","6.357584495013662"
"554","2347","1822","1574","6.357584495013662"
